LogBIO,PEOE_VSAx3,a_nBr,SlogP_VSA5,RPC-
6.069999,48.077671,0.0,26.292875,0.120979
6.299998,56.696681999999996,0.0,26.292875,0.121249
4.19,48.077671,0.0,26.292875,0.13939300000000002
5.47,48.077671,0.0,26.292875,0.12069
4.69,48.077671,0.0,26.292875,0.13939300000000002
6.190003,48.077671,0.0,26.292875,0.105617
6.853996,36.887108000000005,0.0,61.676743,0.124297
4.29,48.077671,0.0,45.161282,0.100641
5.05,48.077671,0.0,45.161282,0.119067
6.09,48.077671,0.0,26.292875,0.105617
6.09,39.458656,0.0,45.161282,0.130902
4.79,48.077671,0.0,26.292875,0.13939300000000002
5.4,48.077671,0.0,26.292875,0.13939300000000002
3.15,48.077671,0.0,26.292875,0.197812
6.6799990000000005,48.077671,0.0,26.292875,0.121939
2.35,48.077671,3.0,54.326595,0.167521
6.399997,48.077671,0.0,26.292875,0.121939
6.509999,48.077671,0.0,26.292875,0.121939
6.74,48.077671,0.0,26.292875,0.121813
6.69897,48.077671,0.0,26.292875,0.121249
4.26,48.077671,0.0,29.478451,0.110555
5.11,48.077671,0.0,26.292875,0.13939300000000002
6.69897,48.077671,0.0,61.676743,0.1175
5.52,48.077671,0.0,26.292875,0.12069
4.8,48.077671,0.0,80.545151,0.09804500000000001
